dep,nom,cp,nb_hab_2010,nb_hab_1999,nb_hab_2012,dens,surf,long,lat,alt_min,alt_max
1,Ozan,1190,618,469,500,93,6.6,4.91667,46.3833,170,205
1,Cormoranche-sur-Saône,1290,1058,903,1000,107,9.85,4.83333,46.2333,168,211
1,Plagne,1130,129,83,100,20,6.2,5.73333,46.1833,560,922
1,Tossiat,1250,1406,1111,1400,138,10.17,5.31667,46.1333,244,501
1,Pouillat,1250,88,58,100,14,6.23,5.43333,46.3333,333,770
1,Torcieu,1230,698,643,700,65,10.72,5.4,45.9167,257,782
1,Replonges,1620,3500,2841,3300,210,16.6,4.88333,46.3,169,207
1,Corcelles,1110,243,222,200,17,14.16,5.58333,46.0333,780,1081
1,Péron,1630,2143,1578,1900,82,26.01,5.93333,46.2,411,1501
1,Relevant,1990,466,367,400,37,12.38,4.95,46.0833,235,282
1,Chaveyriat,1660,927,810,900,54,16.87,5.06667,46.1833,188,260
1,Vaux-en-Bugey,1150,1169,1003,1100,142,8.22,5.35,45.9167,252,681
1,Maillat,1430,668,664,700,59,11.31,5.55,46.1333,497,825
1,Faramans,1800,681,591,600,60,11.22,5.11667,45.9,255,306
1,Béon,1350,373,364,400,36,10.3,5.75,45.8333,228,1412
1,Saint-Bernard,1600,1375,1281,1400,436,3.15,4.73723,45.945,167,198
1,Rossillon,1510,148,147,100,18,8.07,5.6,45.8333,324,1022
1,Pont-d'Ain,1160,2627,2309,2500,234,11.22,5.33333,46.05,232,314
1,Nantua,1460,3713,3922,3600,290,12.79,5.61667,46.15,427,1125
1,Chavannes-sur-Reyssouze,1190,680,580,700,41,16.55,5,46.4333,175,218
1,Neuville-les-Dames,1400,1504,1232,1500,56,26.59,5,46.1667,210,271
1,Flaxieu,1350,63,50,100,22,2.79,5.73333,45.8167,225,385
1,Hotonnes,1260,306,295,300,10,28.4,5.68333,46,636,1338
1,Saint-Sorlin-en-Bugey,1150,1061,938,1100,116,9.07,5.36667,45.8833,196,700
1,Songieu,1260,130,123,100,6,20.58,5.7,45.9667,567,1275
1,Virieu-le-Petit,1260,309,281,300,18,16.36,5.71667,45.9,419,1524
